Designator,Mid X,Mid Y,Rotation,Layer
D5,116.7,-91.8,0.0,top
D6,127.07,-91.8,0.0,top
D7,116.8,-100.1,0.0,top
D8,126.87,-100.1,0.0,top
R1,111.47,-93.74,90.0,bottom
R2,122.07,-93.7,90.0,bottom
R3,111.47,-101.46,90.0,bottom
R4,122.07,-101.4,90.0,bottom
SW1,98.6125,-113.46,0.0,top
SW2,98.6125,-94.41,0.0,top
SW3,79.5625,-94.41,0.0,top
SW4,79.075,-115.55,0.0,top
U1,120.2315,-115.6,270.0,top
